,USAF,YR--MODAHRMN,TEMP,MAX,MIN,CELSIUS
556,28450,201705081800,2.0,2.0,2.0,0
557,28450,201705081820,2.0,,,-1
558,28450,201705081850,2.0,,,-1
559,28450,201705081900,2.0,,,-1
560,28450,201705081920,2.0,,,-1
561,28450,201705081950,2.0,,,-1
562,28450,201705082000,2.0,,,-1
563,28450,201705082020,2.0,,,-1
564,28450,201705082050,2.0,,,-1
565,28450,201705082100,2.0,,,-1
566,28450,201705082120,2.0,,,-1
567,28450,201705082150,2.0,,,-2
568,28450,201705082200,2.0,,,-1
569,28450,201705082220,2.0,,,-2
570,28450,201705082250,2.0,,,-2
571,28450,201705082300,2.0,,,-2
572,28450,201705082320,2.0,,,-2
573,28450,201705082350,2.0,,,-2
574,28450,201705090000,2.0,,,-2
575,28450,201705090020,2.0,,,-2
576,28450,201705090050,2.0,,,-2
577,28450,201705090100,2.0,,,-2
578,28450,201705090120,2.0,,,-2
579,28450,201705090150,2.0,,,-2
580,28450,201705090200,2.0,,,-2
581,28450,201705090220,2.0,,,-2
582,28450,201705090250,2.0,,,-2
583,28450,201705090300,2.0,,,-2
584,28450,201705090320,2.0,,,-2
585,28450,201705090350,2.0,,,-2
586,28450,201705090400,2.0,,,-2
587,28450,201705090420,2.0,,,-2
588,28450,201705090450,2.0,,,-2
589,28450,201705090500,2.0,,,-2
590,28450,201705090520,2.0,,,-2
591,28450,201705090550,2.0,,,-2
592,28450,201705090600,2.0,2.0,2.0,-1
593,28450,201705090620,2.0,,,-1
594,28450,201705090650,2.0,,,0
595,28450,201705090700,2.0,,,0
596,28450,201705090720,2.0,,,0
597,28450,201705090750,2.0,,,0
598,28450,201705090800,2.0,,,1
599,28450,201705090820,2.0,,,0
600,28450,201705090850,2.0,,,0
601,28450,201705090900,2.0,,,1
602,28450,201705090920,2.0,,,1
603,28450,201705090950,2.0,,,1
604,28450,201705091000,2.0,,,1
605,28450,201705091020,2.0,,,1
606,28450,201705091050,2.0,,,1
607,28450,201705091100,2.0,,,1
608,28450,201705091120,2.0,,,1
609,28450,201705091150,2.0,,,2
610,28450,201705091200,2.0,,,2
611,28450,201705091220,2.0,,,2
612,28450,201705091250,2.0,,,1
613,28450,201705091300,2.0,,,1
614,28450,201705091320,2.0,,,2
615,28450,201705091350,2.0,,,2
616,28450,201705091400,2.0,,,0
617,28450,201705091420,2.0,,,1
618,28450,201705091450,2.0,,,1
619,28450,201705091500,2.0,,,1
620,28450,201705091520,2.0,,,2
621,28450,201705091550,2.0,,,-1
622,28450,201705091600,2.0,,,0
623,28450,201705091620,2.0,,,0
624,28450,201705091650,2.0,,,1
625,28450,201705091700,2.0,,,1
627,28450,201705091750,2.0,,,0
628,28450,201705091800,2.0,2.0,2.0,0
629,28450,201705091820,2.0,,,0
630,28450,201705091850,2.0,,,0
631,28450,201705091900,2.0,,,0
632,28450,201705091920,2.0,,,-1
633,28450,201705091950,2.0,,,-1
634,28450,201705092000,2.0,,,-1
635,28450,201705092020,2.0,,,-2
636,28450,201705092050,2.0,,,-2
637,28450,201705092100,2.0,,,-1
638,28450,201705092120,2.0,,,-2
639,28450,201705092150,2.0,,,-2
640,28450,201705092200,2.0,,,-2
641,28450,201705092220,2.0,,,-2
642,28450,201705092250,2.0,,,-2
643,28450,201705092300,2.0,,,-2
644,28450,201705092320,2.0,,,-2
645,28450,201705092350,2.0,,,-2
646,28450,201705100000,2.0,,,-2
647,28450,201705100020,2.0,,,-2
648,28450,201705100050,2.0,,,-2
649,28450,201705100100,2.0,,,-2
650,28450,201705100120,2.0,,,-2
651,28450,201705100150,2.0,,,-2
652,28450,201705100200,2.0,,,-2
653,28450,201705100220,2.0,,,-2
654,28450,201705100250,2.0,,,-2
655,28450,201705100300,2.0,,,-1
656,28450,201705100320,2.0,,,-2
657,28450,201705100350,2.0,,,-2
